"Global X Silver Miners ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
04/27/2017,34.2,-0.82,-2.34,-0.10,-0.30
04/26/2017,35.02,0.63,1.83,-0.12,-0.35
04/25/2017,34.39,-1.13,-3.18,-0.20,-0.58
04/24/2017,35.52,-0.43,-1.20,-0.11,-0.30
04/21/2017,35.95,-0.25,-0.69,-0.10,-0.27
04/20/2017,36.2,0.21,0.58,-0.08,-0.22
04/19/2017,35.99,-1.42,-3.80,-0.25,-0.68
04/18/2017,37.41,-0.28,-0.74,-0.05,-0.12
04/17/2017,37.69,-0.38,-1.00,-0.18,-0.47
04/13/2017,38.07,0.16,0.42,0.00,-0.01
04/12/2017,37.91,0.02,0.05,0.09,0.24
04/11/2017,37.89,1.16,3.16,0.01,0.03
04/10/2017,36.73,-0.22,-0.60,-0.04,-0.12
04/07/2017,36.95,0.08,0.22,-0.17,-0.47
04/06/2017,36.87,0.35,0.96,0.03,0.08
04/05/2017,36.52,-0.30,-0.81,-0.04,-0.10
04/04/2017,36.82,0.42,1.15,0.06,0.16
04/03/2017,36.4,0.40,1.11,0.03,0.07
03/31/2017,36,0.45,1.27,0.11,0.32
03/30/2017,35.55,-0.29,-0.81,-0.09,-0.25
03/29/2017,35.84,-0.04,-0.11,0.16,0.44
03/28/2017,35.88,-0.64,-1.75,-0.14,-0.38
03/27/2017,36.52,0.69,1.93,0.13,0.36
03/24/2017,35.83,0.01,0.03,0.04,0.12
03/23/2017,35.82,-0.30,-0.83,0.09,0.25
03/22/2017,36.12,0.11,0.31,-0.04,-0.10
03/21/2017,36.01,0.38,1.07,0.02,0.06
03/20/2017,35.63,0.50,1.42,0.07,0.20
03/17/2017,35.13,-0.46,-1.29,-0.06,-0.17
03/16/2017,35.59,-0.13,-0.36,-0.06,-0.17
03/15/2017,35.72,2.86,8.70,0.59,1.68
03/14/2017,32.86,-1.25,-3.66,-0.29,-0.87
03/13/2017,34.11,0.63,1.88,0.02,0.06
03/10/2017,33.48,0.96,2.95,0.13,0.39
03/09/2017,32.52,-0.57,-1.72,-0.09,-0.29
03/08/2017,33.09,-0.29,-0.87,0.00,0.01
03/07/2017,33.38,-0.27,-0.80,-0.11,-0.33
03/06/2017,33.65,-1.52,-4.32,-0.17,-0.49
03/03/2017,35.17,0.66,1.91,0.22,0.62
03/02/2017,34.51,-2.48,-6.70,-0.25,-0.72
03/01/2017,36.99,0.69,1.90,0.13,0.34
02/28/2017,36.3,0.42,1.17,-0.08,-0.23
02/27/2017,35.88,-2.42,-6.32,-0.48,-1.31
02/24/2017,38.3,-0.83,-2.12,-0.03,-0.08
02/23/2017,39.13,0.49,1.27,0.10,0.25
02/22/2017,38.64,-0.33,-0.85,0.10,0.27
02/21/2017,38.97,-0.25,-0.64,0.13,0.32
