"Global X MSCI China Materials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
12/23/2016,13.56,-0.02,-0.15,-0.08,-0.57
12/22/2016,13.58,-0.19,-1.38,-0.11,-0.83
12/21/2016,13.77,0.02,0.15,-0.10,-0.74
12/20/2016,13.75,-0.04,-0.29,-0.01,-0.08
12/19/2016,13.79,-0.14,-1.01,-0.05,-0.38
12/16/2016,13.93,-0.22,-1.55,-0.04,-0.31
12/15/2016,14.15,-0.21,-1.46,-0.03,-0.24
12/14/2016,14.36,-0.27,-1.85,-0.11,-0.74
12/13/2016,14.63,0.22,1.53,0.03,0.24
12/12/2016,14.41,-0.31,-2.11,-0.07,-0.52
12/09/2016,14.72,-0.06,-0.41,0.00,-0.03
12/08/2016,14.78,0.10,0.68,0.00,-0.01
12/07/2016,14.68,0.32,2.23,0.11,0.75
12/06/2016,14.36,0.16,1.13,0.06,0.43
12/05/2016,14.2,-0.10,-0.70,0.05,0.36
12/02/2016,14.3,-0.02,-0.14,0.03,0.20
12/01/2016,14.32,0.11,0.77,-0.06,-0.42
11/30/2016,14.21,-0.19,-1.32,0.03,0.24
11/29/2016,14.4,-0.01,-0.07,0.00,0.03
11/28/2016,14.41,0.08,0.56,-0.08,-0.52
11/25/2016,14.33,0.17,1.20,-0.06,-0.44
11/23/2016,14.16,-0.04,-0.28,-0.12,-0.87
11/22/2016,14.2,0.12,0.85,-0.06,-0.42
11/21/2016,14.08,0.15,1.08,0.04,0.30
11/18/2016,13.93,-0.15,-1.07,-0.02,-0.14
11/17/2016,14.08,0.18,1.29,0.05,0.39
11/16/2016,13.9,-0.06,-0.43,-0.05,-0.37
11/15/2016,13.96,-0.16,-1.13,0.04,0.26
11/14/2016,14.12,-0.12,-0.84,-0.01,-0.04
11/11/2016,14.24,0.27,1.93,-0.09,-0.64
11/10/2016,13.97,0.06,0.43,-0.11,-0.77
11/09/2016,13.91,0.13,0.94,0.25,1.84
11/08/2016,13.78,0.05,0.36,0.08,0.62
11/07/2016,13.73,0.33,2.46,0.09,0.65
11/04/2016,13.4,-0.10,-0.74,-0.09,-0.67
11/03/2016,13.5,0.03,0.22,-0.04,-0.28
11/02/2016,13.47,0.00,0.00,-0.07,-0.48
11/01/2016,13.47,-0.03,-0.22,-0.10,-0.77
10/31/2016,13.5,-0.05,-0.37,0.08,0.57
10/28/2016,13.55,-0.22,-1.60,-0.07,-0.49
10/27/2016,13.77,0.00,0.00,-0.03,-0.20
10/26/2016,13.77,-0.03,-0.22,-0.03,-0.25
10/25/2016,13.8,0.05,0.36,-0.05,-0.38
10/24/2016,13.75,0.09,0.66,-0.04,-0.26
10/21/2016,13.66,-0.01,-0.07,0.01,0.11
10/20/2016,13.67,-0.02,-0.15,0.03,0.19
10/19/2016,13.69,0.03,0.22,0.05,0.35
10/18/2016,13.66,0.19,1.41,-0.02,-0.15
10/17/2016,13.47,-0.13,-0.96,-0.01,-0.09
10/14/2016,13.6,0.15,1.12,0.02,0.15
10/13/2016,13.45,-0.07,-0.52,0.05,0.38
10/12/2016,13.52,-0.11,-0.81,-0.01,-0.05
10/11/2016,13.63,-0.31,-2.22,-0.09,-0.63
10/10/2016,13.94,0.07,0.50,0.06,0.41
10/07/2016,13.87,-0.06,-0.43,-0.01,-0.08
10/06/2016,13.93,0.08,0.58,0.00,0.03
10/05/2016,13.85,0.11,0.80,0.02,0.11
10/04/2016,13.74,0.06,0.44,-0.10,-0.72
10/03/2016,13.68,-0.01,-0.07,0.00,0.02
09/30/2016,13.69,0.01,0.07,0.11,0.82
09/29/2016,13.68,0.02,0.15,-0.09,-0.68
09/28/2016,13.66,0.00,0.00,0.10,0.76
09/27/2016,13.66,0.07,0.52,-0.01,-0.08
09/26/2016,13.59,-0.32,-2.30,-0.06,-0.42
09/23/2016,13.91,-0.24,-1.70,-0.07,-0.50
09/22/2016,14.15,0.08,0.57,0.06,0.43
09/21/2016,14.07,0.26,1.88,0.10,0.68
09/20/2016,13.81,0.09,0.66,-0.02,-0.17
09/19/2016,13.72,0.01,0.07,-0.06,-0.45
09/16/2016,13.71,-0.02,-0.15,0.01,0.08
09/15/2016,13.73,0.27,2.01,0.03,0.22
09/14/2016,13.46,0.04,0.30,-0.04,-0.31
09/13/2016,13.42,-0.33,-2.40,-0.07,-0.50
09/12/2016,13.75,-0.02,-0.15,0.17,1.23
09/09/2016,13.77,-0.20,-1.43,-0.27,-1.93
09/08/2016,13.97,0.03,0.22,0.03,0.20
09/07/2016,13.94,0.01,0.07,0.01,0.06
09/06/2016,13.93,0.47,3.49,-0.01,-0.06
09/02/2016,13.46,0.18,1.36,0.10,0.72
09/01/2016,13.28,-0.02,-0.15,0.02,0.14
08/31/2016,13.3,-0.12,-0.89,-0.01,-0.10
08/30/2016,13.42,0.08,0.60,0.02,0.13
08/29/2016,13.34,-0.04,-0.30,0.05,0.39
08/26/2016,13.38,-0.03,-0.22,-0.02,-0.16
08/25/2016,13.41,-0.06,-0.45,0.02,0.14
08/24/2016,13.47,0.05,0.37,-0.04,-0.32
08/23/2016,13.42,-0.01,-0.07,-0.03,-0.24
08/22/2016,13.43,-0.14,-1.03,-0.05,-0.33
08/19/2016,13.57,-0.12,-0.88,0.01,0.08
08/18/2016,13.69,0.10,0.74,0.04,0.32
08/17/2016,13.59,0.06,0.44,0.02,0.16
08/16/2016,13.53,0.09,0.67,0.04,0.30
08/15/2016,13.44,0.11,0.83,0.02,0.17
08/12/2016,13.33,-0.08,-0.60,-0.02,-0.14
08/11/2016,13.41,0.19,1.44,0.10,0.73
08/10/2016,13.22,-0.03,-0.23,0.01,0.06
08/09/2016,13.25,-0.03,-0.23,0.05,0.35
08/08/2016,13.28,0.17,1.30,0.10,0.78
08/05/2016,13.11,0.11,0.85,0.09,0.72
08/04/2016,13,0.04,0.31,0.08,0.59
08/03/2016,12.96,0.32,2.53,0.10,0.75
08/02/2016,12.64,-0.11,-0.86,-0.21,-1.61
08/01/2016,12.75,0.08,0.63,-0.10,-0.79
07/29/2016,12.67,-0.17,-1.32,0.08,0.65
07/28/2016,12.84,0.05,0.39,0.02,0.12
07/27/2016,12.79,-0.05,-0.39,0.01,0.11
07/26/2016,12.84,0.17,1.34,0.07,0.57
07/25/2016,12.67,-0.09,-0.71,0.02,0.17
07/22/2016,12.76,0.01,0.08,0.07,0.55
07/21/2016,12.75,-0.03,-0.23,-0.02,-0.17
07/20/2016,12.78,-0.20,-1.54,0.05,0.35
07/19/2016,12.98,-0.19,-1.44,0.27,2.10
07/18/2016,13.17,0.09,0.69,0.33,2.60
07/15/2016,13.08,0.06,0.46,0.22,1.71
07/14/2016,13.02,0.04,0.31,0.11,0.84
07/13/2016,12.98,0.01,0.08,0.04,0.28
07/12/2016,12.97,0.20,1.57,0.11,0.86
07/11/2016,12.77,-0.05,-0.39,0.09,0.69
07/08/2016,12.82,0.27,2.15,0.34,2.69
07/07/2016,12.55,-0.10,-0.79,-0.08,-0.59
07/06/2016,12.65,0.21,1.69,0.11,0.85
07/05/2016,12.44,0.01,0.08,0.01,0.10
07/01/2016,12.43,0.06,0.49,0.22,1.82
06/30/2016,12.37,-0.26,-2.06,0.16,1.28
06/29/2016,12.63,0.16,1.28,0.50,4.13
06/28/2016,12.47,0.32,2.63,0.44,3.62
06/27/2016,12.15,0.12,1.00,-0.06,-0.47
06/24/2016,12.03,-0.59,-4.68,-0.02,-0.16
06/23/2016,12.62,0.43,3.53,0.39,3.18
06/22/2016,12.19,0.06,0.49,-0.01,-0.12
06/21/2016,12.13,0.07,0.58,0.05,0.39
06/20/2016,12.06,12.06,0.00,0.01,0.08
06/17/2016,0,-12.12,-100.00,0.00,0.00
06/16/2016,12.12,0.21,1.76,0.16,1.32
06/15/2016,11.91,-0.31,-2.54,-0.04,-0.36
06/14/2016,12.22,-0.01,-0.08,0.30,2.52
06/13/2016,12.23,0.09,0.74,0.23,1.95
06/10/2016,12.14,-0.33,-2.65,-0.09,-0.71
06/09/2016,12.47,-0.16,-1.27,0.04,0.34
06/08/2016,12.63,0.08,0.64,0.20,1.60
06/07/2016,12.55,0.19,1.54,0.04,0.35
06/06/2016,12.36,0.24,1.98,0.11,0.89
06/03/2016,12.12,-0.08,-0.66,0.04,0.35
06/02/2016,12.2,-0.18,-1.45,0.12,0.95
06/01/2016,12.38,0.34,2.82,0.39,3.25
05/31/2016,12.04,-0.02,-0.17,0.11,0.95
05/27/2016,12.06,0.05,0.42,0.11,0.96
05/26/2016,12.01,0.01,0.08,0.04,0.29
05/25/2016,12,-0.04,-0.33,0.05,0.42
05/24/2016,12.04,-0.34,-2.75,0.17,1.47
05/23/2016,12.38,0.52,4.38,0.43,3.63
05/20/2016,11.86,0.10,0.85,-0.02,-0.15
05/19/2016,11.76,-0.20,-1.67,-0.08,-0.69
05/18/2016,11.96,0.26,2.22,-0.03,-0.24
05/17/2016,11.7,-0.50,-4.10,-0.43,-3.54
05/16/2016,12.2,0.38,3.21,0.26,2.14
05/13/2016,11.82,-0.17,-1.42,0.02,0.14
05/12/2016,11.99,-0.13,-1.07,-0.05,-0.39
05/11/2016,12.12,-0.11,-0.90,0.00,-0.03
05/10/2016,12.23,0.08,0.66,0.20,1.69
05/09/2016,12.15,-0.40,-3.19,0.08,0.68
05/06/2016,12.55,0.15,1.21,0.33,2.66
05/05/2016,12.4,-0.03,-0.24,-0.05,-0.42
05/04/2016,12.43,-0.04,-0.32,-0.03,-0.26
05/03/2016,12.47,-0.14,-1.11,-0.19,-1.50
05/02/2016,12.61,0.09,0.72,-0.07,-0.57
04/29/2016,12.52,-0.35,-2.72,-0.19,-1.46
04/28/2016,12.87,0.43,3.46,0.14,1.13
04/27/2016,12.44,0.06,0.48,-0.26,-2.04
04/26/2016,12.38,-0.09,-0.72,-0.29,-2.25
04/25/2016,12.47,-0.39,-3.03,-0.24,-1.89
04/22/2016,12.86,0.28,2.23,0.04,0.34
04/21/2016,12.58,-0.20,-1.56,-0.52,-3.93
04/20/2016,12.78,-0.18,-1.39,-0.14,-1.06
04/19/2016,12.96,0.33,2.61,-0.08,-0.61
04/18/2016,12.63,-0.01,-0.08,-0.08,-0.67
