"Global X Gold Explorers ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
11/24/15,--,--,--,-0.03,-0.14
11/23/15,--,--,--,-0.20,-1.10
11/20/15,--,--,--,-0.13,-0.70
11/19/15,--,--,--,-0.32,-1.74
11/18/15,--,--,--,0.02,0.12
11/17/15,--,--,--,0.10,1.16
11/16/15,--,--,--,0.09,0.93
11/13/15,--,--,--,0.06,0.61
11/12/15,--,--,--,0.07,0.71
11/11/15,--,--,--,0.08,0.84
11/10/15,--,--,--,-0.01,-0.13
11/9/15,--,--,--,-0.02,-0.19
11/6/15,--,--,--,0.10,1.09
11/5/15,--,--,--,0.07,0.70
11/4/15,--,--,--,0.06,0.67
11/3/15,--,--,--,0.09,0.95
11/2/15,--,--,--,0.07,0.65
10/30/15,--,--,--,0.18,1.84
10/29/15,--,--,--,-0.01,-0.10
10/28/15,--,--,--,0.07,0.72
10/27/15,--,--,--,0.01,0.12
10/26/15,--,--,--,0.06,0.61
10/23/15,--,--,--,-0.03,-0.24
10/22/15,--,--,--,0.04,0.37
10/21/15,--,--,--,-0.08,-0.76
10/20/15,--,--,--,-0.04,-0.38
10/19/15,--,--,--,-0.10,-0.96
10/16/15,--,--,--,-0.05,-0.46
10/15/15,--,--,--,0.03,0.27
10/14/15,--,--,--,-0.01,-0.14
10/13/15,--,--,--,-0.02,-0.17
10/12/15,--,--,--,-0.24,-2.37
10/9/15,--,--,--,-0.04,-0.43
10/8/15,--,--,--,-0.01,-0.14
10/7/15,--,--,--,-0.08,-0.83
10/6/15,--,--,--,0.07,0.69
10/5/15,--,--,--,0.00,-0.02
10/2/15,--,--,--,-0.02,-0.26
10/1/15,--,--,--,-0.02,-0.28
9/30/15,--,--,--,-0.02,-0.28
9/29/15,--,--,--,-0.04,-0.49
9/28/15,--,--,--,-0.06,-0.65
9/25/15,--,--,--,-0.06,-0.65
9/24/15,--,--,--,-0.02,-0.17
9/23/15,--,--,--,-0.10,-1.07
9/22/15,--,--,--,-0.04,-0.38
9/21/15,--,--,--,-0.04,-0.44
9/18/15,--,--,--,-0.08,-0.79
9/17/15,--,--,--,-0.02,-0.24
9/16/15,--,--,--,-0.02,-0.24
9/15/15,--,--,--,-0.01,-0.17
9/14/15,--,--,--,-0.07,-0.84
9/11/15,--,--,--,-0.01,-0.11
9/10/15,--,--,--,0.03,0.31
9/9/15,--,--,--,-0.05,-0.56
9/8/15,--,--,--,0.03,0.37
9/4/15,--,--,--,0.01,0.11
9/3/15,--,--,--,-0.09,-1.01
9/2/15,--,--,--,0.02,0.25
9/1/15,--,--,--,-0.07,-0.76
8/31/15,--,--,--,0.04,0.43
8/28/15,--,--,--,-0.04,-0.44
8/27/15,--,--,--,0.05,0.63
8/26/15,--,--,--,0.08,1.00
8/25/15,--,--,--,0.03,0.41
8/24/15,--,--,--,0.01,0.10
8/21/15,--,--,--,0.08,0.86
8/20/15,--,--,--,0.04,0.44
8/19/15,--,--,--,0.00,0.05
8/18/15,--,--,--,0.04,0.40
8/17/15,--,--,--,0.09,1.04
8/14/15,--,--,--,0.08,0.86
8/13/15,--,--,--,0.08,0.90
8/12/15,--,--,--,-0.01,-0.06
8/11/15,--,--,--,0.03,0.32
8/10/15,--,--,--,-0.03,-0.35
8/7/15,--,--,--,0.06,0.72
8/6/15,--,--,--,0.02,0.18
8/5/15,--,--,--,0.05,0.57
8/4/15,--,--,--,-0.03,-0.40
8/3/15,--,--,--,-0.15,-1.80
7/31/15,--,--,--,-0.06,-0.68
7/30/15,--,--,--,0.03,0.31
7/29/15,--,--,--,0.03,0.33
7/28/15,--,--,--,0.02,0.21
7/27/15,--,--,--,0.05,0.62
7/24/15,--,--,--,0.00,0.03
7/23/15,--,--,--,-0.05,-0.65
7/22/15,--,--,--,-0.04,-0.50
7/21/15,--,--,--,-0.05,-0.59
7/20/15,--,--,--,-0.06,-0.75
7/17/15,--,--,--,-0.09,-0.95
7/16/15,--,--,--,-0.13,-1.31
7/15/15,--,--,--,-0.04,-0.39
7/14/15,--,--,--,-0.06,-0.59
7/13/15,--,--,--,-0.08,-0.81
7/10/15,--,--,--,-0.04,-0.40
7/9/15,--,--,--,-0.04,-0.46
7/8/15,--,--,--,-0.10,-1.03
7/7/15,--,--,--,-0.03,-0.27
7/6/15,--,--,--,-0.07,-0.72
7/2/15,--,--,--,-0.02,-0.24
7/1/15,--,--,--,-0.12,-1.18
6/30/15,--,--,--,-0.02,-0.15
6/29/15,--,--,--,-0.05,-0.49
6/26/15,--,--,--,-0.04,-0.37
6/25/15,--,--,--,-0.04,-0.39
